2585
49,56
28,60
47,88
42,55
64,20
37,39
96,86
13,91
86,79
37,76
39,72
25,86
14,46
47,36
92,34
89,44
69,64
38,88
43,93
23,34
70,28
86,79
48,92
64,32
13,57
27,83
39,77
10,32
48,53
20,55
85,18
65,56
76,21
71,33
89,69
10,64
11,15
11,67
20,60
87,12
38,62
28,62
64,17
79,81
60,22
11,38
64,49
78,86
82,92
86,17
41,100
33,83
68,16
99,19
72,70
56,81
12,59
73,27
12,69
41,35
69,31
58,45
32,52
27,11
27,44
95,53
65,71
43,93
52,60
13,55
28,51
55,57
43,48
96,71
48,15
88,44
37,29
37,71
98,16
52,80
73,27
86,54
68,16
62,28
49,90
80,16
74,84
27,31
26,70
65,66
20,81
91,38
40,23
52,61
24,63
76,65
62,45
19,63
34,22
55,81
