-145
26,-47
-40,0
0,50
-34,-22
47,38
22,47
40,-31
-39,26
10,-24
21,-15
-7,-25
-17,-38
-44,-35
-42,-35
45,-40
43,0
-28,44
2,7
-44,31
3,47
-41,-35
-48,43
15,47
10,-13
46,50
-35,-40
39,-14
-10,-1
-6,-48
3,5
-2,-12
3,-39
3,36
12,47
18,16
24,-42
-25,-28
2,-42
9,36
-38,-18
-31,-35
36,47
-16,-11
46,24
0,-44
-4,29
10,2
25,-28
-47,-46
-13,-22
20,13
23,3
19,27
13,46
-49,13
-47,-50
-45,-29
8,-14
11,36
23,-14
7,41
-13,-5
-31,-9
15,2
-29,16
14,46
34,50
36,11
22,5
-45,-22
14,-16
13,-29
41,46
-1,5
-21,44
-13,7
49,-48
-16,-48
44,39
-14,49
43,-33
13,-16
28,6
49,25
33,-6
-25,-39
10,-20
-46,-10
41,-14
-2,-26
-22,-38
17,-27
-27,21
49,-16
39,-19
-14,-39
44,17
-42,-43
22,37
-1,42
9,44
-27,45
-35,36
10,17
-40,13
-35,-34
-40,-32
-4,-33
46,44
-41,6
-3,-24
25,15
-49,11
15,4
31,24
16,34
-3,50
-7,-35
12,-19
-42,33
-14,-3
26,50
-34,-31
35,8
-27,-22
-34,33
0,-47
5,21
-17,33
6,-44
-12,-25
23,-9
-1,-25
-42,38
41,-50
-46,23
2,-44
-37,45
-23,-24
44,4
-22,48
-31,-11
23,45
-44,18
-26,38
47,-39
32,18
17,25
-2,17
-24,-31
26,-45
-10,49
-11,48
31,-47
-9,36
33,-15
13,29
-27,-5
-48,-47
-39,-16
-28,-2
-22,-12
-13,-45
47,22
0,7
-12,27
29,-41
33,-46
1,-45
-31,8
-48,-36
-44,46
-40,33
-12,-25
26,31
1,23
19,-14
-5,23
10,-23
-38,28
27,14
-45,-5
6,14
45,-19
-8,-27
-33,-8
-24,26
-38,50
-49,-29
-47,23
1,14
11,-15
19,16
8,-4
0,-28
9,14
19,49
2,-12
-24,41
7,5
12,-33
-16,5
4,28
26,-22
37,21
-25,-46
45,18
28,15
29,-18
-19,8
-22,36
33,-36
50,11
35,-8
49,3
-19,26
37,-31
16,23
-22,2
17,45
-10,-29
-31,3
31,-43
-48,36
9,-9
-19,13
-38,-34
-11,39
-40,7
-24,36
42,-4
21,48
-12,37
21,-39
-40,15
-33,24
32,-44
-5,39
-49,31
31,7
14,-44
-18,-21
-14,-42
50,-2
36,-12
6,2
-45,-49
-27,-37
37,43
1,-23
12,-30
-21,17
30,26
20,18
-4,2
0,-9
31,31
-49,16
14,48
49,-15
31,11
-4,37
41,-24
-13,29
-29,43
29,-2
25,48
-46,17
-6,45
9,8
-16,-27
24,0
-36,-19
22,39
7,-23
-12,-8
9,-2
-50,-44
-46,40
50,-44
20,-26
-12,-34
27,-1
-4,48
39,-29
-24,-10
33,-24
50,-48
30,-40
4,45
-40,-6
-14,27
-38,13
-35,-44
-10,50
-29,6
32,32
-13,11
-25,4
-30,-44
